epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,105.09,1.06343,0.85795,1,0.37877,0.000330808,0.000330808,0.000330808
2,207.326,0.49429,0.83902,1,0.40092,0.000650991,0.000650991,0.000650991
3,310.844,0.4851,0.85795,1,0.41658,0.000957975,0.000957975,0.000957975
4,410.273,0.47742,0.89962,1,0.36873,0.0009406,0.0009406,0.0009406
5,509.971,0.41212,0.81439,1,0.69075,0.0009208,0.0009208,0.0009208
6,611.202,0.35733,0.89394,1,0.28265,0.000901,0.000901,0.000901
7,710.943,0.34338,0.92803,1,0.23308,0.0008812,0.0008812,0.0008812
8,812.339,0.33938,0.94318,1,0.17383,0.0008614,0.0008614,0.0008614
9,912.966,0.2913,0.94129,1,0.16185,0.0008416,0.0008416,0.0008416
10,1013.92,0.32124,0.95076,1,0.14302,0.0008218,0.0008218,0.0008218
11,1116.54,0.31059,0.96402,1,0.09254,0.000802,0.000802,0.000802
12,1219.25,0.26699,0.89583,1,0.25592,0.0007822,0.0007822,0.0007822
13,1319.45,0.25747,0.96591,1,0.11013,0.0007624,0.0007624,0.0007624
14,1420.1,0.25059,0.95076,1,0.12831,0.0007426,0.0007426,0.0007426
15,1518.44,0.23858,0.95833,1,0.10206,0.0007228,0.0007228,0.0007228
16,1618.08,0.23702,0.94886,1,0.12725,0.000703,0.000703,0.000703
17,1718.26,0.18995,0.9678,1,0.08516,0.0006832,0.0006832,0.0006832
18,1817.14,0.19155,0.9678,1,0.09763,0.0006634,0.0006634,0.0006634
19,1917.21,0.17458,0.9678,1,0.08023,0.0006436,0.0006436,0.0006436
20,2015.87,0.17683,0.97538,1,0.06658,0.0006238,0.0006238,0.0006238
21,2116.04,0.19047,0.96402,1,0.11953,0.000604,0.000604,0.000604
22,2215.98,0.18136,0.96402,1,0.09114,0.0005842,0.0005842,0.0005842
23,2315.07,0.16109,0.96402,1,0.11594,0.0005644,0.0005644,0.0005644
24,2416.44,0.14837,0.97727,1,0.06859,0.0005446,0.0005446,0.0005446
25,2514.78,0.1465,0.9697,1,0.07378,0.0005248,0.0005248,0.0005248
26,2613.07,0.16292,0.96402,1,0.09639,0.000505,0.000505,0.000505
27,2712.75,0.1472,0.97727,1,0.06256,0.0004852,0.0004852,0.0004852
28,2811.24,0.13203,0.9697,1,0.08299,0.0004654,0.0004654,0.0004654
29,2911.41,0.14434,0.9697,1,0.07495,0.0004456,0.0004456,0.0004456
30,3009.54,0.12159,0.97917,1,0.05493,0.0004258,0.0004258,0.0004258
31,3107.88,0.1261,0.97159,1,0.07291,0.000406,0.000406,0.000406
32,3207.58,0.10698,0.97917,1,0.07197,0.0003862,0.0003862,0.0003862
33,3306.09,0.10638,0.97538,1,0.0656,0.0003664,0.0003664,0.0003664
34,3404.54,0.1037,0.98106,1,0.06116,0.0003466,0.0003466,0.0003466
35,3504.42,0.10333,0.97917,1,0.05926,0.0003268,0.0003268,0.0003268
36,3602.29,0.10104,0.97538,1,0.05554,0.000307,0.000307,0.000307
37,3702.43,0.0832,0.98295,1,0.04089,0.0002872,0.0002872,0.0002872
38,3799.98,0.08021,0.98295,1,0.05034,0.0002674,0.0002674,0.0002674
39,3898.62,0.07549,0.97727,1,0.05798,0.0002476,0.0002476,0.0002476
40,3996.81,0.07496,0.98295,1,0.05199,0.0002278,0.0002278,0.0002278
41,4096.03,0.07665,0.98674,1,0.04596,0.000208,0.000208,0.000208
42,4192.01,0.06505,0.97917,1,0.05429,0.0001882,0.0001882,0.0001882
43,4283.24,0.06219,0.98864,1,0.04892,0.0001684,0.0001684,0.0001684
44,4374.2,0.09032,0.97348,1,0.07274,0.0001486,0.0001486,0.0001486
45,4466.47,0.06213,0.98485,1,0.05599,0.0001288,0.0001288,0.0001288
46,4558.4,0.07697,0.98106,1,0.05524,0.000109,0.000109,0.000109
47,4649.31,0.05796,0.97917,1,0.05442,8.92e-05,8.92e-05,8.92e-05
48,4742.27,0.06472,0.98485,1,0.05272,6.94e-05,6.94e-05,6.94e-05
49,4833.97,0.04836,0.98485,1,0.05211,4.96e-05,4.96e-05,4.96e-05
50,4925.76,0.06774,0.98485,1,0.05339,2.98e-05,2.98e-05,2.98e-05
